address,City,rent per month in euro,rent per annum in euro,size range (sq ft),size range (sq m),key features,description,link
"55 Goswell Road, Clerkenwell, London, EC1V 7EN.",London,3255,39060,601-2768,56-257,"This building is located in a prime Clerkenwell location on Goswell Road. The studios have been recently refurbished to a high standard, with modern suspended lighting, wooden flooring, and BT fibre connectivity. Many studios and headline events for Clerkenwell Design Week are located here. The area is home to major companies in design, fashion, technology, and showrooms. Transport is easily accessible, with Farringdon station serving multiple lines and the Cycle Superhighway nearby. The floors are offered fully fitted and furnished, with the option for a fully managed space. The property is elected for VAT and can be leased directly from the freeholder.","This building is situated in a highly desirable location in Clerkenwell, on Goswell Road. The recently renovated studios feature modern suspended lighting, wooden flooring, and BT fibre connectivity. It is a popular spot for Clerkenwell Design Week and is surrounded by major companies in design, fashion, and technology. Farringdon station and the Cycle Superhighway are easily accessible for transportation. The floors are fully fitted and furnished, with the option for a fully managed space. The property is VAT elected and can be leased directly from the freeholder.",https://www.rightmove.co.uk/properties/125116355#/?channel=COM_LET
"415 Wick Lane, London E3.",London,3850,46200,849-545000,79-50632,"Studio G101 is a loft-style studio located in a newly refurbished warehouse space in Tradestars Hackney Wick. The unit features high ceilings, plenty of natural light, exposed metal beams, and a mezzanine. Cowarehousing is a concept where businesses can have their own full-service warehouse and work environment, with access to communal spaces and private units. Tradestars Hackney Wick offers various amenities such as hosting events and workshops, and is pet-friendly. The current residents include e-commerce brands, rug crafters, photographers, film producers, events companies, and tattoo artists. This versatile space can be used for various purposes such as office, warehouse, workshop, industrial, studio, storage, and more. Come and see if Tradestars can be your next business headquarters.","Studio G101 is a versatile loft-style studio located in a newly refurbished warehouse space in Tradestars Hackney Wick. It features high ceilings, natural light, exposed metal beams, and a mezzanine. This co-warehousing concept offers businesses their own full-service warehouse and work environment, with access to communal spaces and private units. Tradestars Hackney Wick also offers amenities such as hosting events and workshops, and is pet-friendly. The current residents include a diverse range of businesses, making it a dynamic and collaborative environment. This space can be used for various purposes such as office, warehouse, workshop, industrial, studio, storage, and more. Come and see if Tradestars can be your next business headquarters.",https://www.rightmove.co.uk/properties/145702484#/?channel=COM_LET
"4-10 North Road, Islington, London.",London,5688,68256,871-535000,81-49703,"Studio 0.07 is a Cowarehousing space located in Islington, offering a full-service warehouse and work environment for businesses. With communal spaces and private units, it provides a versatile space for creating, storing, and selling goods and services. The monthly rent for a studio is £5,688 and the size is 871 sq/ft. Cowarehousing is a concept that allows businesses to have their own workspace while also being part of a community of local independent businesses. The space is pet-friendly and hosts regular events and workshops. It can be used for various purposes such as office, warehouse, workshop, industrial, studio, storage, and more. The images used in the listing are indicative and taken from Tradestars Hackney Wick.","Studio 0.07 is a Cowarehousing space located in Islington, offering a versatile and full-service workspace for businesses. It features communal areas and private units, making it ideal for creating, storing, and selling goods and services. The monthly rent for a studio is £5,688 and the size is 871 sq/ft. This concept allows businesses to have their own workspace while also being part of a community of local independent businesses. The space is pet-friendly and hosts regular events and workshops. It can be used for various purposes such as office, warehouse, workshop, industrial, studio, storage, and more. The images used in the listing are indicative and taken from Tradestars Hackney Wick.",https://www.rightmove.co.uk/properties/149752277#/?channel=COM_LET
"Republic, Import Building, London E14 2BE",London,2917,35004,1000-400000,93-37161,"Newly transformed contemporary campus in East London 275,000 sq ft of creative workspace over nine floors Part of the multi-award-winning Republic campus Amenities such as a gym, restaurants, cafes, and a curated fitness and wellness program VAV air conditioning, LED lighting, raised floors, and 14 lifts 250 secure cycle spaces, showers, and roof terraces Well-connected with two DLR stations Close to Canary Wharf and the City Vibrant community of innovative and creative businesses","The Import Building is a modern campus in East London, offering 275,000 sq ft of creative workspace over nine floors. It is part of the award-winning Republic campus, with amenities such as a gym, restaurants, and cafes. The building features VAV air conditioning, LED lighting, raised floors, and 14 lifts. It also offers 250 secure cycle spaces, showers, and roof terraces. The location is well-connected and close to Canary Wharf and the City. The campus has a vibrant community of innovative businesses.",https://www.rightmove.co.uk/properties/79597163#/?channel=COM_LET
"30 South Colonnade, London E14 5EP.",London,7356,88272,1605-302773,149-28129,"Located in the iconic Canary Wharf, this property offers a welcoming gateway to a vibrant and globally-relevant community. With the upcoming Crossrail, it provides easy access to a diverse pool of talent and clients. Priced at £55.00 per sq ft, it is a prime opportunity for businesses to establish themselves in this growing area.","Situated in the renowned Canary Wharf, this property offers a warm welcome to a dynamic and internationally significant community. With the upcoming Crossrail, it provides convenient access to a diverse range of talent and clients. Priced at £55.00 per sq ft, it presents a prime opportunity for businesses to establish themselves in this thriving area.",https://www.rightmove.co.uk/properties/117384491#/?channel=COM_LET
"4-10 North Road, Islington, London.",London,1495,17940,195-240000,18-22297,"Studio sizes ranging from 195 sq/ft to 1000 sq/ft 8% service charge Cowarehousing concept Full-service warehouse and work environment Beautiful communal spaces Adaptable private units Ideal for creating, storing, and selling goods and services Basic amenities included Community of local independent businesses Regular events and workshops Pet-friendly Versatile space for various purposes Can be used as offices, warehouses, workshops, industrial work, studios, storage, and more Images sourced from Tradestars Hackney Wick","Tradestars Islington offers a unique concept of Cowarehousing, providing a full-service warehouse and work environment with studio sizes ranging from 195 sq/ft to 1000 sq/ft. The space is perfect for creating, storing, and selling goods and services, and is suitable for various purposes such as offices, warehouses, workshops, and more. Along with basic amenities, Tradestars Islington also offers a community of local independent businesses, regular events and workshops, and is pet-friendly. The images used in this description are indicative and have been sourced from Tradestars Hackney Wick.",https://www.rightmove.co.uk/properties/150027704#/?channel=COM_LET
"Chimney Walk, Sugar House Island, Stratford, London, E15 2RB",London,19977,239724,5993-216771,557-20139,"216,771 Sq Ft of new build offices Roof terraces in a canal-side setting Vibrant mixed-use development Spread across three buildings Unique and modern work environment","216,771 Sq Ft of new build offices with roof terraces in a canal-side setting within a vibrant mixed-use development.",https://www.rightmove.co.uk/properties/130606235#/?channel=COM_LET
"77 Marsh Wall, London.",London,250,3000,100-210000,9-19510,"Newly renovated 210,000 sq ft building Located on South Quay High-quality services and amenities Complimentary on-site gym with regular classes Air-conditioned rooms with video capabilities On-site cafe serving fresh and locally sourced food and drinks Conveniently located near Canary Wharf Easy access to transportation, including the nearby Elizabeth Line","Sierra Quebec Bravo is a recently renovated 210,000 sq ft building situated on South Quay. It offers a variety of top-notch services and amenities, such as a complimentary on-site gym with regular classes, air-conditioned rooms equipped with video capabilities, and an on-site cafe serving fresh and locally sourced food and drinks. The building's location is convenient, with easy access to transportation, including the nearby Elizabeth Line, and is in close proximity to Canary Wharf.",https://www.rightmove.co.uk/properties/134673080#/?channel=COM_LET
"1 Clove Crescent, London, E14.",London,2917,35004,1000-180000,93-16723,"The Export Building is a newly transformed contemporary campus in East London, offering 275,000 sq ft of creative workspace over nine floors. It features a stunning atrium and a dedicated wellness and community management team onsite. The building is surrounded by carefully curated amenities and currently has office spaces available from 1,000 sq ft - 179,047 sq ft. On-site amenities include restaurants, a gym, and a range of street food vendors. Republic is a multi-award-winning next-generation campus with state of the art offices, restaurants, coffee shops, a gym, and a spectacular public realm. It is well connected via two DLR stations and is a 10-minute walk from Canary Wharf.","The Export Building is a modern campus in East London, offering 275,000 sq ft of creative workspace over nine floors. It boasts a beautiful atrium and a dedicated team for wellness and community management. The building is surrounded by carefully selected amenities and currently has office spaces available from 1,000 sq ft to 179,047 sq ft. On-site amenities include restaurants, a gym, and a variety of street food vendors. Republic, a multi-award-winning campus with top-notch offices, restaurants, coffee shops, and a gym, is easily accessible via two DLR stations and a 10-minute walk from Canary Wharf.",https://www.rightmove.co.uk/properties/79598858#/?channel=COM_LET
"151 Buckingham Palace Road, London SW1W.",London,11435,137220,2111-175799,196-16332,"Modern, Grade A office space Undergoing a comprehensive refurbishment Central atrium Natural light on four elevations Bright and open atmosphere Sky gardens and terraces on levels 4 and 5 Stunning views of London Excellent transport links High-speed connections to Gatwick Airport and the home counties Located just a two-minute walk from Victoria Station","151 Buckingham Palace Road is a modern, Grade A office space undergoing a comprehensive refurbishment. It features a central atrium, natural light on four elevations, and sky gardens and terraces on levels 4 and 5 with stunning views of London. The building is conveniently located just a two-minute walk from Victoria Station, providing excellent transport links to Central London, Gatwick Airport, and the home counties.",https://www.rightmove.co.uk/properties/148618406#/?channel=COM_LET
