address,City,rent per month in euro,rent per annum in euro,size range (sq ft),size range (sq m),key features,description,link
"55 Goswell Road, Clerkenwell, EC1V 7EN",London,"£3,255 pcm","£39,060 pa","601-2,768 sq ft",56-257 sq m,Newly Refurbished studio officesFully fitted and furnishedWooden flooringComfort Cooling SystemExcellent Natural LightModern suspended LED lightingPerimeter TrunkingFibre connectivityPassenger liftFibre ready via Backbone Connect,"The building is located on Goswell Road, a prime Clerkenwell Location. These studios have undergone a comprehensive refurbishment to CAT A+ (fully fitted) specification, complemented by modern suspended lighting, wooden flooring, comfort cooling systems, exposed concrete columns and BT fibre connectivity. Many studios have made their home here, as well as headline Clerkenwell Design Week events. In short, the locals appreciate the value of good design. The vibrant social scene, unique shops and charming character also make this one of London’s most desirable places to drink and dine too. Location The area is home to major companies from the design, fashion, technology and showroom sectors. There is a well-established showroom community and showroom occupiers include: Vitra, Porcelanosa, Knoll, Bolon, Domus, Mapei, Wilkhahn, Milliken, Hansgrohe, Bulthalp, Caesar, Desso, Havwoods and Connection. Transport is well covered. Farringdon is on the Circle, District and Hammersmith & City Lines, and also serves mainline trains and the new Elizabeth Line. The Cycle Superhighway is also just around the corner as well as Barbican and Old Street Tube Station. Viewings Via joint sole agents only Terms New full repairing & insuring lease(s) available for a term by arrangement direct from the freeholder. Availability_text The accommodation comprises the following areas: Local Authority The London Borough of Islington Fit out The floors are offered in a fully fitted and furnished condition to include: - South units: 8 desks, banquette breakout area & a new kitchenette. - North unit: 12 desks, new kitchenette, breakout areas, 1x meeting room. VAT The property is elected for VAT Fully managed Each space can be offered on a fully managed basis via Pulse at a cost of £160 Per Sq Ft.",https://www.rightmove.co.uk/properties/125116355#/?channel=COM_LET
"415 Wick Lane, E3",London,"£3,850 pcm","£46,200 pa","849-545,000 sq ft","79-50,632 sq m",Flexible leasesCommunity manager and receptionCafe and loungeMail/package handling and goods in/goods out areaPrivate meeting roomsBookable podcast studios and photography studio24 hour access/digital key access and security/CCTVRest rooms and shower facilitiesPet friendlyParking available,"Studio G101: £3850 pcm 8% service charge 849 sq/ft Tradestars presents this loft-style studio in a newly refurbished warehouse space. The unit boasts high ceilings, ample natural light, exposed metal beams and a mezzanine. What is Cowarehousing? It's your own full-service warehouse and work environment with beautiful communal spaces and adaptable private units, where you can create, store, and sell your goods and services from. Tradestars Hackney Wick also includes a range of features to help with your day-to-day business. We have a community of local independent businesses where we host a regular events and workshops. Plus we are pet friendly. Current Residents: Amongst our existing residents you will find e-commerce brands, rug crafters, photographers, film producers, events companies and tattoo artists. Come and see if you will be the next business to make Tradestars your HQ. Uses of cowarehousing: * Office * Warehouse * Workshop * Industrial * Studio * Storage * And more",https://www.rightmove.co.uk/properties/145702484#/?channel=COM_LET
"4-10 North Road, Islington",London,"£5,688 pcm","£68,256 pa","871-535,000 sq ft","81-49,703 sq m",Flexible leasesCommunity manager and receptionCafe and loungeMail / package handling and goods in / goods out areaPrivate meeting roomsBookable podcast and photography studios24 hour access / digital key access and security / CCTVRest rooms and shower facilitiesPet friendlyParking available,"Studio 0.07: £5,688 pcm Size: 871 sq/ft Reserve your studio now. What is Cowarehousing? It's your own full-service warehouse and work environment with beautiful communal spaces and adaptable private units, where you can create, store, and sell your goods and services from. Tradestars Islington also includes a range of features to help with your day-to-day business. We have a community of local independent businesses where we host a regular events and workshops. Plus we are pet friendly. Uses of Cowarehousing: * Office * Warehouse * Workshop * Industrial * Studio * Storage * And more * Indicative images (Images used from Tradestars Hackney Wick)",https://www.rightmove.co.uk/properties/149752277#/?channel=COM_LET
"Republic, Import Building, E14 2BE",London,"£2,917 pcm","£35,004 pa","1,000-400,000 sq ft","93-37,161 sq m","Dedicated On-site Events TeamFantastic Amenties including PureGym, Restaurants, Cafes and Water GardenMulti-award-winning Next Generation CampusOn-site Community Management and Wellness programmesLondon's Best Value Workspace","A state of independence for an independent state of mind. 720,000 sq ft newly transformed contemporary campus in East London. The Import Building offers 275,000 sq ft of creative workspace over nine floors and can be leased in parallel with space in the Export Building. -Newly Refurbished Office Space in East London - Curated fitness and wellness programme available to all tenants - On-site gym, restaurants and cafes - Regular business and networking events - Multi-award-winning campus - Easy access to Canary Wharf and the City - VAV air conditioning - LED lighting - 150mm Raised floors - 2.8-3.0m Floor to ceiling height - 14 x Lifts provide access to all floors - 250 x Secure cycle spaces with lockers - 6 Male & 6 Female showers - Roof terraces on levels 7 & 9 - 22 Car parking spaces Full Description: On-site amenities include The Gentlemen Baristas, PureGym, Salento - an independent Italian restaurant, a sandwich bar, as well as a range of street food vendors. Further restaurant and convenience store lettings are under offer and coming soon. An integrated Republic app also allows tenants to book specially curated talks, classes, events and meeting rooms throughout the working week. Location Description: Republic is a multi-award-winning next-generation campus with state of the art offices, restaurants, coffee shops, a gym and a spectacular public realm. It is home to a raft of businesses at the cutting edge of innovation and creativity. A State of Independence for an Independent State of Mind. Transport and Accessibility: Republic is extremely well connected via two DLR stations (East India and Blackwall). It is 13 minutes from Bank (DLR), 2 minutes from Canning Town (Jubilee), 8 minutes from City Airport (DLR) and 22 minutes from Bond Street (DLR and Jubilee). Canary Wharf is a 10 minute walk and the cycle superhighway runs through the site. Energy Performance Certificates EPC 1",https://www.rightmove.co.uk/properties/79597163#/?channel=COM_LET
"30 South Colonnade, London, E14 5EP",London,"£7,356 pcm","£88,272 pa","1,605-302,773 sq ft","149-28,129 sq m",30 showers300 lockersBike StoreLevels 1 -12,"Per sq ft £55.00 per sq ft An iconic gateway welcoming all to a new Canary Wharf Part of a vibrant, globally-relevant and growing community More talent and clients closer than ever before with Crossrail Canary Wharf",https://www.rightmove.co.uk/properties/117384491#/?channel=COM_LET
"4-10 North Road, Islington",London,"£1,495 pcm","£17,940 pa","195-240,000 sq ft","18-22,297 sq m",Flexible leasesCommunity manager and receptionCafe and loungeMail / package handling and goods in / goods out areaPrivate meeting roomsBookable podcast and photography studios24 hour access / digital key access and security / CCTVRest rooms and shower facilitiesPet friendlyParking available,"Studio sizes from 195 sq/ft - 1000 sq/ft plus 8% service charge Reserve your studio now. What is Cowarehousing? It's your own full-service warehouse and work environment with beautiful communal spaces and adaptable private units, where you can create, store, and sell your goods and services from. Tradestars Islington also includes a range of features to help with your day-to-day business. We have a community of local independent businesses where we host a regular events and workshops. Plus we are pet friendly. Uses of Cowarehousing: * Office * Warehouse * Workshop * Industrial * Studio * Storage * And more * Indicative images (Images used from Tradestars Hackney Wick)",https://www.rightmove.co.uk/properties/150027704#/?channel=COM_LET
"Chimney Walk, Sugar House Island, Stratford, E15 2RB",London,"£19,977 pcm","£239,724 pa","5,993-216,771 sq ft","557-20,139 sq m",Roof TerracesBREEAM ExcellentEPC A3.5m Floor to Ceiling HeightPotential for Self-Contained BuildingWired Score GoldDistrict Heating Network247 Secure Cycle and Scooter SpacesOpenable Windows,"216,771 Sq Ft of new build offices with roof terraces in a canal-side setting within a vibrant mixed-use development. Availability_text The accommodation comprises the following areas across three buildings:",https://www.rightmove.co.uk/properties/130606235#/?channel=COM_LET
77 Marsh Wall,London,£250 pcm,"£3,000 pa","100-210,000 sq ft","9-19,510 sq m",Coffee ShopGymYoga StudioOutdoor GardenConference RoomsCycle Spaces and ShowersBespoke and Cat B SolutionsManaged / All-Inclusive OptionsHigh-Speed Fibre,"Sierra Quebec Bravo is a transformative re-think of the 210,000 sq ft South Quay Building. The building has always been home to a diverse mix of occupiers. It has now been re-coded to provide pioneering services, high performance design and a programme of practical benefits - improving the working environment for a dynamic community of successful businesses. On-site gym is complimentary to all occupiers with regular classes from boxing to yoga. Air conditioned rooms with video capability for your online meetings, and catering easily arranged. On-site cafe with fresh, locally sourced selection of healthy food, snacks and drinks. From speciality coffee to freshly made smoothies and protein shakes. Situated on South Quay, Sierra Quebec Bravo enjoys all the first class transport and amenity benefits associated with neighbouring Canary Wharf. Transport links have been boosted further with the arrival of the Elizabeth Line, which is a short walk away.",https://www.rightmove.co.uk/properties/134673080#/?channel=COM_LET
"Export Building, 1 Clove Crescent, London, E14",London,"£2,917 pcm","£35,004 pa","1,000-180,000 sq ft","93-16,723 sq m","Dedicated on-site Events Team, Community Management and Wellness programmesGym, Restaurants, Cafes and Stunning outdoor space on the campusMulti-award-winning next generation campusInternet speeds up to 10gb/s up & down300 x Secure cycle spaces with lockers, 7 Male & 7 female showers","A state of independence for an independent state of mind. 720,000 sq ft newly transformed contemporary campus in East London. The Export Building offers 275,000 sq ft of creative workspace over nine floors. - Newly Refurbished Office Space in East London - Curated fitness and wellness programme available to all tenants - On-site gym, restaurants and cafes - Regular business and networking events - Multi award-winning campus - Easy access to Canary Wharf and the City - VAV air conditioning - LED lighting - 150mm Raised floors - 2.8-3.0m Floor to ceiling height - 14 x Lifts provide access to all floors - 250 x Secure cycle spaces with lockers - 6 Male & 6 Female showers - Roof terraces on levels 7 & 9 - 22 Car parking spaces Full Description: Featuring a stunning atrium, Export Building offers 179,047 sq ft of dynamic workspace over nine floors and provides an opportunity to be part of a growing creative community in East London with complimentary access to a dedicated wellness and community management team onsite. Facing onto a stunning water garden, the building is surrounded by carefully curated amenities and currently has office spaces available from 1,000 sq ft - 179,047 sq ft. On-site amenities include The Gentlemen Baristas, PureGym, Salento - an independent Italian restaurant, a sandwich bar, as well as a range of street food vendors. Further restaurant and convenience store lettings are under offer and coming soon. An integrated Republic app also allows tenants to book specially curated talks, classes, events and meeting rooms throughout the working week. Studios at Republic also includes access to the library and co-working areas at ground floor. Location Description: Republic is a multi-award-winning next-generation campus with state of the art offices, restaurants, coffee shops, a gym, and a spectacular public realm. It is home to a raft of businesses at the cutting edge of innovation and creativity. A State of Independence for an Independent State of Mind. Transport and Accessibility: Republic is extremely well connected via two DLR stations (East India and Blackwall). It is 13 minutes from Bank (DLR), 2 minutes from Canning Town (Jubilee), 8 minutes from City Airport (DLR) and 22 minutes from Bond Street (DLR and Jubilee). Canary Wharf is a 10minute walk and the cycle superhighway runs through the site.",https://www.rightmove.co.uk/properties/79598858#/?channel=COM_LET
"151 Buckingham Palace Road - Grade A Offices To Let With Roof Terraces & Sky Gardens, SW1W",London,"£11,435 pcm","£137,220 pa","2,111-175,799 sq ft","196-16,332 sq m",24 hour access24hr securityAir ConditioningBike StoreCommissionairePlaster ceilingRaised access flooringShower facility1 : 8 sq mPrice: 65£ - 83£,"Per sq ft £65.00 - £82.50 per sq ft 151 Buckingham Palace Road forms part of the wider Hub Victoria redevelopment and is currently undergoing a comprehensive refurbishment to provide modern, open plan Grade A office space. In addition to a central atrium, the building benefits from natural light on four elevations which flood the building with light. Levels 4 and 5 benefit from a combination of sky gardens and terraces which offer outdoor entertaining space and exceptional views of London. 151 Buckingham Palace Road benefits from excellent transport links, being just a two minute walk away from one of London's major transport centres, Victoria Station - which has just benefited from a £700m upgrade to improve accessibility and journey times. Victoria Station provides immediate access to all parts of Central London and is serviced by the District, Circle and Victoria lines; along with high speed links to Gatwick Airport and the home counties.",https://www.rightmove.co.uk/properties/148618406#/?channel=COM_LET
